IP,延迟(ms),丢包率(%),速度(Mbps),国家代码,来源,排名
104.21.106.17,24.47,0.00,7.75,US,CUSTOM,227
193.9.49.10,25.10,0.00,20.42,DE,CUSTOM,228
104.18.241.67,31.68,0.00,8.59,US,CLOUDFLARE,229
104.21.228.60,32.50,0.00,16.50,US,CUSTOM,230
104.21.236.214,32.66,0.00,8.90,US,CUSTOM,231
104.21.225.111,38.25,0.00,12.68,US,CUSTOM,232
203.30.190.116,44.39,0.00,9.26,CY,CUSTOM,233
172.64.101.9,45.43,0.00,10.57,US,CUSTOM,234
172.64.176.173,46.87,0.00,12.96,US,CUSTOM,235
162.159.237.122,48.28,0.00,11.97,US,CUSTOM,236
104.21.221.143,49.47,0.00,8.61,US,CUSTOM,237
172.64.79.23,49.99,0.00,7.32,US,CUSTOM,238
203.34.28.165,50.39,0.00,8.38,VG,CUSTOM,239
198.41.218.76,52.42,0.00,9.74,US,CUSTOM,240
196.13.241.253,52.44,0.00,7.98,ZA,CUSTOM,241
199.27.129.104,66.09,0.00,10.11,US,CUSTOM,242
162.159.235.177,87.32,0.00,11.64,US,CUSTOM,243
203.55.107.253,87.65,0.00,13.93,VG,CUSTOM,244
203.24.102.109,88.99,0.00,9.80,VG,CUSTOM,245
203.17.126.145,91.84,0.00,13.57,CY,CUSTOM,246
172.64.78.237,94.60,0.00,14.09,US,CUSTOM,247
162.159.160.114,142.04,0.00,20.53,US,CUSTOM,248
162.159.160.174,144.00,0.00,21.19,US,CUSTOM,249
195.82.109.91,164.12,0.00,21.01,GB,CUSTOM,250
162.159.39.72,164.21,0.00,8.90,US,CLOUDFLARE,251
216.120.180.108,185.78,0.00,15.64,DE,CUSTOM,252
104.30.128.202,372.22,0.00,16.46,KR,CUSTOM,253
